text,label
帮我记录一下今天的会议内容,meeting
开始录音做会议纪要,meeting
帮我总结刚才开的会,meeting
会议上讨论了哪些重点,meeting
record the meeting now,meeting
meeting notes please,meeting
帮我录一下音,meeting
开始会议记录了,meeting
take meeting minutes,meeting
把会议内容整理一下,meeting
准备开会了,meeting
帮我记录并总结等一下的会议,meeting
帮我录下等一下的会议录音,meeting
把会议内容整理总结一下,meeting
我要记录一下这个会议,meeting
把这段中文翻译成英文,translation
帮我翻译一下这个文件,translation
英译中,translation
translate this to Chinese,translation
润色一下这段话,translation
把这段话改写一下,translation
帮我翻成英文,translation
这段英文什么意思,translation
翻译成中文,translation
翻译一下,translation
帮我翻译,translation
中译英,translation
这段话翻译成中文,translation
翻成日语,translation
帮我写一封英文邮件,translation
做一个关于AI的PPT,ppt
帮我生成一个产品介绍的简报,ppt
准备一个10页的演示文稿,ppt
create a presentation about ML,ppt
科技风的PPT大纲,ppt
做个简报,ppt
下载PPT文件,ppt
帮我做一份slides,ppt
presentation slides about tech,ppt
生成一份商务风的演示文稿,ppt
帮我做一个公司介绍的幻灯片,ppt
准备明天汇报用的PPT,ppt
做一个路演PPT,ppt
帮我生成一份教学用的演示文稿,ppt
做一份产品发布简报,ppt
帮我把这篇文章总结一下,summary
这个文档太长了提炼要点,summary
summarize this document,summary
给我一个简短的摘要,summary
这篇文章的核心观点是什么,summary
帮我概括一下,summary
文档摘要,summary
太长不看给我总结,summary
make a summary of this,summary
用三句话总结这篇文章,summary
总结一下,summary
帮我提炼要点,summary
这篇文章讲了什么,summary
做摘要,summary
文件摘要,summary
帮我从会议记录中提取待办事项,todo
列出需要做的事情,todo
extract action items from this,todo
这周要完成哪些任务,todo
帮我整理一个任务清单,todo
有什么待办,todo
把要做的事情列出来,todo
提取任务列表,todo
show me my todos,todo
今天要做什么,todo
提醒我明天交报告,todo
记得买牛奶,todo
帮我记一下明天要开会,todo
别忘了周五的deadline,todo
帮我设置提醒,todo
帮我调研一下Transformer架构,research
研究一下竞争对手的产品,research
做一份市场分析报告,research
research the latest AI trends,research
深度调研这个行业,research
帮我查一下这个技术的最新进展,research
分析一下这个市场,research
做竞品分析,research
search for recent papers on ML,research
调研报告,research
帮我做一个行业研究,research
调研一下最新的AI发展趋势,research
分析一下这个行业的竞争格局,research
帮我找一些关于深度学习的论文,research
做一份市场调研报告,research
帮我写一封请假邮件,email
给老板写个邮件,email
写一封英文商务邮件,email
write an email to client,email
帮我起草一份通知,email
生成一份正式公文,email
写邮件,email
写个报告,email
写一封感谢信,email
回复客户的邮件,email
帮我写个周报邮件,email
起草一份内部通知,email
写一封辞职信,email
帮我回复这封邮件,email
帮我写邮件通知,email
设置25分钟番茄钟,pomodoro
开始专注模式,pomodoro
start pomodoro timer,pomodoro
番茄钟30分钟,pomodoro
计时25分钟,pomodoro
开始番茄,pomodoro
pomodoro 25 min,pomodoro
设置一个番茄钟,pomodoro
帮我计时,pomodoro
开始工作计时,pomodoro
设个15分钟的番茄,pomodoro
专注45分钟,pomodoro
开启番茄工作法,pomodoro
设个计时器,pomodoro
番茄工作法计时,pomodoro
帮我生成一个思维导图,mindmap
做个脑图,mindmap
create a mind map,mindmap
画个思维导图,mindmap
整理成思维导图,mindmap
生成脑图,mindmap
把这个做成思维导图,mindmap
mind map from this,mindmap
知识结构图,mindmap
做个知识图谱,mindmap
画个结构图,mindmap
帮我梳理一下思路,mindmap
思维导图,mindmap
做脑图,mindmap
帮我整理知识结构,mindmap
帮我分析一下这个数据,data
数据分析,data
analyze this dataset,data
上传一个CSV分析,data
帮我看看这个表格,data
数据可视化,data
分析Excel数据,data
data analysis,data
这个数据有什么规律,data
帮我做数据分析,data
看看这个CSV文件,data
分析销售数据,data
统计一下这个表格,data
数据洞察,data
帮我处理数据,data
打开智能表格,spreadsheet
上传表格处理,spreadsheet
open spreadsheet,spreadsheet
表格操作,spreadsheet
帮我处理这个Excel,spreadsheet
智能表格,spreadsheet
用AI处理表格,spreadsheet
spreadsheet AI,spreadsheet
上传一个Excel处理,spreadsheet
表格数据分析,spreadsheet
处理CSV文件,spreadsheet
打开表格工具,spreadsheet
用自然语言操作表格,spreadsheet
表格AI,spreadsheet
表格问数,spreadsheet
帮我写周报,weekly_report
生成周报,weekly_report
weekly report,weekly_report
这周工作总结,weekly_report
自动生成周报,weekly_report
写本周周报,weekly_report
generate weekly report,weekly_report
周报,weekly_report
帮我总结这周的工作,weekly_report
提交周报,weekly_report
写工作总结,weekly_report
本周工作汇报,weekly_report
上周周报,weekly_report
生成工作周报,weekly_report
整理本周工作内容,weekly_report
帮我规划一下这个项目,task_planning
拆解任务,task_planning
task planning,task_planning
项目计划,task_planning
帮我做任务分解,task_planning
规划项目进度,task_planning
任务规划,task_planning
分解WBS,task_planning
帮我排一下任务优先级,task_planning
项目时间规划,task_planning
制定项目计划,task_planning
任务排期,task_planning
规划一下sprint,task_planning
工作分解,task_planning
帮我拆分工作,task_planning
分析一下这张图片,image-analyzer
帮我看看这张图,image-analyzer
图片分析,image-analyzer
analyze this image,image-analyzer
识别图片内容,image-analyzer
图像分析,image-analyzer
这张图片里有什么,image-analyzer
帮我识别图中的文字,image-analyzer
分析一下这张照片,image-analyzer
图片识别,image-analyzer
上传图片分析,image-analyzer
看看这张图是什么,image-analyzer
帮我分析图片色彩,image-analyzer
图像内容识别,image-analyzer
这张图是什么风格,image-analyzer
帮我生成一个图表,chart-generator
画个柱状图,chart-generator
生成图表,chart-generator
create a chart,chart-generator
数据可视化图表,chart-generator
做个饼图,chart-generator
画个折线图,chart-generator
做个散点图,chart-generator
帮我可视化这些数据,chart-generator
生成一个柱状图,chart-generator
图表生成,chart-generator
generate chart,chart-generator
画个数据图,chart-generator
帮我做个图表,chart-generator
数据画图,chart-generator
对比这两个文档,doc-compare
文档对比,doc-compare
compare documents,doc-compare
文件对比一下,doc-compare
这两个文件有什么区别,doc-compare
对比两份合同,doc-compare
文档差异分析,doc-compare
文件比较,doc-compare
diff documents,doc-compare
看看这两份文档哪里不一样,doc-compare
文件差异对比,doc-compare
对比两份报告的差异,doc-compare
文档比对,doc-compare
查看文档修改内容,doc-compare
比对文件差异,doc-compare
帮我阅读多个来源的信息,multi-source
多源阅读,multi-source
multi source reading,multi-source
整合多个文件的信息,multi-source
多源信息综合,multi-source
综合阅读,multi-source
read multiple sources,multi-source
多文件综合,multi-source
